player_id,name,age,photo_url,position_group,detailed_position,team_id,team_name,team_logo,league_id,season,appearances,starts,minutes_played,rating,goals,assists,shots,shots_on_target,key_passes,passes_total,dribbles_succ,tackles,interceptions,blocks,duels_won,fouls_drawn,fouls_committed,cards,goals_per90,assists_per90,shots_per90,shots_on_target_per90,goal_contributions_per90,key_passes_per90,successful_dribbles_per90,tackles_per90,interceptions_per90,blocks_per90,defensive_actions_per90,duels_won_per90,fouls_drawn_per90,fouls_committed_per90,cards_per90,shot_accuracy,goal_conversion,key_pass_rate,pass_accuracy,duel_success_rate,dribble_success_rate
452,Fernando,38,https://media.api-sports.io/football/players/452.png,Midfielder,Midfielder,536,Sevilla,https://media.api-sports.io/football/teams/536.png,140,2023,11,9,459,6.85,0,0,0,0,2,237,4,9,7,0,25,3,6,0,0.0,0.0,0.0,0.0,0.0,0.39,0.78,1.76,1.37,0.0,3.14,4.9,0.59,1.18,0.0,0.0,0.0,0.84,0.0,53.19,80.0
505,D. Alaba,33,https://media.api-sports.io/football/players/505.png,Defender,Defender,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,2023,15,15,1156,7.135714,0,1,10,4,10,878,0,14,16,7,24,0,4,2,0.0,0.08,0.78,0.31,0.08,0.78,0.0,1.09,1.25,0.54,2.88,1.87,0.0,0.31,0.16,40.0,0.0,1.14,57.0,57.14,0.0
521,R. Lewandowski,37,https://media.api-sports.io/football/players/521.png,Attacker,Attacker,529,Barcelona,https://media.api-sports.io/football/teams/529.png,140,2023,35,33,2758,7.254285,19,8,69,43,27,566,23,8,9,4,137,55,23,5,0.62,0.26,2.25,1.4,0.88,0.88,0.75,0.26,0.29,0.13,0.69,4.47,1.79,0.75,0.16,62.32,27.54,4.77,0.0,49.82,43.4
531,D. Blind,35,https://media.api-sports.io/football/players/531.png,Defender,Defender,547,Girona,https://media.api-sports.io/football/teams/547.png,140,2023,35,35,2978,7.070588,1,2,12,6,17,2523,17,47,21,19,115,12,19,6,0.03,0.06,0.36,0.18,0.09,0.51,0.51,1.42,0.63,0.57,2.63,3.48,0.36,0.57,0.18,50.0,8.33,0.67,67.0,58.97,68.0
536,D. Sinkgraven,30,https://media.api-sports.io/football/players/536.png,Defender,Defender,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,2023,28,17,377,6.466666,0,0,0,0,0,235,0,11,6,3,21,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,1.43,0.72,4.77,5.01,1.19,0.95,0.24,0.0,0.0,0.0,0.0,56.76,0.0
538,F. de Jong,28,https://media.api-sports.io/football/players/538.png,Midfielder,Midfielder,529,Barcelona,https://media.api-sports.io/football/teams/529.png,140,2023,21,21,1637,7.395,2,0,5,4,22,1639,13,43,14,8,101,22,19,7,0.11,0.0,0.27,0.22,0.11,1.21,0.71,2.36,0.77,0.44,3.57,5.55,1.21,1.04,0.38,80.0,40.0,1.34,76.0,58.38,61.9
570,F. Cervi,32,https://media.api-sports.io/football/players/570.png,Attacker,Forward,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,2023,17,12,562,6.823529,0,1,5,1,10,240,0,25,9,0,50,19,6,2,0.0,0.16,0.8,0.16,0.16,1.6,0.0,4.0,1.44,0.0,5.44,8.01,3.04,0.96,0.32,20.0,0.0,4.17,0.0,60.24,0.0
608,L. Boyé,29,https://media.api-sports.io/football/players/608.png,Attacker,Attacker,715,Granada CF,https://media.api-sports.io/football/teams/715.png,140,2023,31,30,2554,6.78387,6,3,43,15,26,608,53,50,10,5,204,43,72,9,0.21,0.11,1.52,0.53,0.32,0.92,1.87,1.76,0.35,0.18,2.29,7.19,1.52,2.54,0.32,34.88,13.95,4.28,0.0,38.71,41.41
614,C. Bravo,42,https://media.api-sports.io/football/players/614.png,Midfielder,Goalkeeper,543,Real Betis,https://media.api-sports.io/football/teams/543.png,140,2023,7,7,630,7.1,0,0,0,0,1,199,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.43,0.14,0.0,0.0,0.0,0.0,0.5,0.0,75.0,0.0
619,Eric García,24,https://media.api-sports.io/football/players/619.png,Defender,Defender,547,Girona,https://media.api-sports.io/football/teams/547.png,140,2023,30,30,2641,6.7,5,0,1,0,0,44,0,0,0,1,1,0,1,4,0.17,0.0,0.03,0.0,0.17,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.03,0.14,0.0,500.0,0.0,0.0,50.0,0.0
633,İ. Gündoğan,35,https://media.api-sports.io/football/players/633.png,Midfielder,Midfielder,529,Barcelona,https://media.api-sports.io/football/teams/529.png,140,2023,36,35,2997,7.458333,5,9,32,17,97,2336,34,31,21,4,114,42,16,5,0.15,0.27,0.96,0.51,0.42,2.91,1.02,0.93,0.63,0.12,1.68,3.42,1.26,0.48,0.15,53.12,15.62,4.15,58.0,51.12,62.96
653,F. Mendy,30,https://media.api-sports.io/football/players/653.png,Defender,Defender,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,2023,28,26,1734,6.891304,0,0,3,2,11,1134,13,15,13,2,49,15,17,5,0.0,0.0,0.16,0.1,0.0,0.57,0.67,0.78,0.67,0.1,1.56,2.54,0.78,0.88,0.26,66.67,0.0,0.97,46.0,48.51,50.0
667,M. Depay,31,https://media.api-sports.io/football/players/667.png,Attacker,Attacker,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,140,2023,26,17,894,6.781818,5,1,31,15,13,246,18,5,1,0,43,16,14,2,0.5,0.1,3.12,1.51,0.6,1.31,1.81,0.5,0.1,0.0,0.6,4.33,1.61,1.41,0.2,48.39,16.13,5.28,0.0,39.45,51.43
668,N. Fekir,32,https://media.api-sports.io/football/players/668.png,Attacker,Attacker,543,Real Betis,https://media.api-sports.io/football/teams/543.png,140,2023,19,10,1047,7.144444,1,2,18,9,30,548,21,15,7,0,81,35,22,1,0.09,0.17,1.55,0.77,0.26,2.58,1.81,1.29,0.6,0.0,1.89,6.96,3.01,1.89,0.09,50.0,5.56,5.47,0.0,56.25,77.78
5,M. Akanji,30,https://media.api-sports.io/football/players/5.png,Defender,Defender,50,Manchester City,https://media.api-sports.io/football/teams/50.png,39,2023,34,32,2514,7.27931,2,0,11,5,13,2296,2,42,23,12,90,19,17,5,0.07,0.0,0.39,0.18,0.07,0.47,0.07,1.5,0.82,0.43,2.76,3.22,0.68,0.61,0.18,45.45,18.18,0.57,74.0,55.56,50.0
14,M. Dahoud,29,https://media.api-sports.io/football/players/14.png,Midfielder,Midfielder,51,Brighton,https://media.api-sports.io/football/teams/51.png,39,2023,17,13,454,6.666666,0,1,4,1,10,325,2,9,1,1,13,2,6,2,0.0,0.2,0.79,0.2,0.2,1.98,0.4,1.78,0.2,0.2,2.18,2.58,0.4,1.19,0.4,25.0,0.0,3.08,0.0,34.21,40.0
22,J. Bruun Larsen,27,https://media.api-sports.io/football/players/22.png,Attacker,Attacker,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,2023,32,16,1251,6.806451,6,0,29,16,25,457,20,9,7,2,48,7,13,1,0.43,0.0,2.09,1.15,0.43,1.8,1.44,0.65,0.5,0.14,1.29,3.45,0.5,0.94,0.07,55.17,20.69,5.47,0.0,33.33,39.22
44,Rodri,29,https://media.api-sports.io/football/players/44.png,Midfielder,Midfielder,50,Manchester City,https://media.api-sports.io/football/teams/50.png,39,2023,35,34,2938,7.982352,8,9,46,22,50,3630,42,70,26,8,201,35,41,9,0.25,0.28,1.41,0.67,0.52,1.53,1.29,2.14,0.8,0.25,3.19,6.16,1.07,1.26,0.28,47.83,17.39,1.38,98.0,59.12,75.0
49,T. Partey,32,https://media.api-sports.io/football/players/49.png,Midfielder,Midfielder,42,Arsenal,https://media.api-sports.io/football/teams/42.png,39,2023,14,9,788,6.961538,0,0,5,2,6,621,9,14,11,3,36,6,10,3,0.0,0.0,0.57,0.23,0.0,0.69,1.03,1.6,1.26,0.34,3.2,4.11,0.69,1.14,0.34,40.0,0.0,0.97,43.0,52.17,81.82
